Unnamed: 0,번호,제목,저자,출판사,출판일
,91,Exploiting big earth data from space – first experiences with the timescan processing chain,"Esch, T.; Üreyen, S.; Zeidler, J.; Metz–Marconcini, A.; Hirner, A.; Asamer, H.; Tum, M.; Böttcher, M.; Kuchar, S.; Svaton, V.; Marconcini, M.",John Wiley & Sons Ltd,2018
,92,Global Reference Grids for Big Earth Data,"Gibb, Robert G.",John Wiley & Sons Ltd,2022
,93,A Ceph-based storage strategy for big gridded remote sensing data,"Tang, Xinyu",John Wiley & Sons Ltd,2022
,94,Big earth data analytics on Sentinel-1 and Landsat imagery in support to global human settlements mapping,"Corbane, Christina; Pesaresi, Martino; Politis, Panagiotis; Syrris, Vasileios; Florczyk, Aneta J.; Soille, Pierre; Maffenini, Luca; Burger, Armin; Vasilev, Veselin; Rodriguez, Dario; Sabo, Filip; Dijkstra, Lewis; Kemper, Thomas",John Wiley & Sons Ltd,2017
,95,An open compute and data federation as an alternative to monolithic infrastructures for big Earth data analytics,"Backeberg, Björn",John Wiley & Sons Ltd,2023
,96,Semantics all the way down: the Semantic Web and open science in big earth data,"Narock, Tom; Shepherd, Adam",John Wiley & Sons Ltd,2017
,97,Big earth data for achieving the sustainable development goals in the belt and road region,"Chen, Fang; Sun, Zhongchang",John Wiley & Sons Ltd,2022
,98,Emerging trends in big Earth data management and analysis,"Sudmanns, Martin",John Wiley & Sons Ltd,2023
,99,Efficient utilization of multi-core processors and many-core co-processors on supercomputer beacon for scalable geocomputation and geo-simulation over big earth data,"Lai, Chenggang; Shi, Xuan; Huang, Miaoqing",John Wiley & Sons Ltd,2018
,100,A ship navigation information service system for the Arctic Northeast Passage using 3D GIS based on big Earth data,"Wu, Adan",John Wiley & Sons Ltd,2022
,1,Classification framework and semantic labeling for Big Earth Data,"Wang, Juanle",John Wiley & Sons Ltd,2023
,2,Big spatial vector data management: a review,"Yao, Xiaochuang; Li, Guoqing",John Wiley & Sons Ltd,2018
,3,The role of big Earth data in understanding climate change,"Jia, Gensuo",John Wiley & Sons Ltd,2020
,4,Big Earth data analytics: a survey,"Yang, Chaowei; Yu, Manzhu; Li, Yun; Hu, Fei; Jiang, Yongyao; Liu, Qian; Sha, Dexuan; Xu, Mengchao; Gu, Juan",John Wiley & Sons Ltd,2019
,5,Impact of WeChat public platforms on blood donation behavior: a big data-based study,"Guo, Xinyu; Chen, Xu",Emerald Group Publishing Limited,2022
,6,Reducing data transfer in big-data workflows: the computation-flow delegated approach,"Nunes, Rickey T. P.",Springer Nature,2019
,7,A review on sentiment discovery and analysis of educational big‐data,"Han, Zhongmei; Wu, Jiyi; Huang, Changqin; Huang, Qionghao; Zhao, Meihua",John Wiley & Sons Ltd,2020
,8,SIMD parallel MCMC sampling with applications for big-data Bayesian analytics,"Mahani, A. S.; Sharabiani, M. T.","Elsevier Science B.V., Amsterdam.",2015
,9,Data analysis on big data: improving the map and shuffle phases in Hadoop Map Reduce,"Lakshmi, J.V.N.",Inderscience,2018
,10,Big data analytics—A review of data‐mining models for small and medium enterprises in the transportation sector,"Mohd Selamat, Siti Aishah; Prakoonwit, Simant; Sahandi, Reza; Khan, Wajid; Ramachandran, Manoharan",John Wiley & Sons Ltd,2018
,11,Big data analytics—a review of data‐mining models for small and medium enterprises in the transportation sector,"Mohd Selamat, Siti Aishah; Prakoonwit, Simant; Sahandi, Reza; Khan, Wajid; Ramachandran, Manoharan",John Wiley & Sons Ltd,2018
,12,"Big, Bigger, Biggest: Data repositories balloon to unprecedented levels. Coping with ``Big Data.''",unknown,SOURCE MEDIA INC.,2013
,13,Transforming big data into smart data: An insight on the use of the k‐nearest neighbors algorithm to obtain quality data,Isaac Triguero,"Wiley Periodicals, Inc",2019
,14,Bolstering green supply chain integration via big data analytics capability: the moderating role of data-driven decision culture,"Liu, Yang",Emerald Group Publishing Limited,2022
,15,"The Impact of Technology, Big Data, and Analytics: The Evolving Data-Driven Model of Innovation in the Finance Industry",Rashmi Malhotra; D. K. Malhotra,Pageant Media Ltd,2023
,16,"Semantics Meets Big Data: Formal Models, Practical Issues, Novel Paradigms","Cuzzocrea, A.",Springer,2016
,17,Guest editorial: Big data-driven analytics for smart cities: technology-based insight,"Guo, Yue",Emerald Group Publishing Limited,2022
,18,Forecasting with Big Data: A Review,"Hassani, H.; Silva, E. S.",Springer Science + Business Media,2015
,19,Quantile regression in big data: A divide and conquer based strategy,"Chen, Lanjue; Zhou, Yong","Elsevier Science B.V., Amsterdam.",2020
,20,How organisations leverage Big Data: a maturity model,"Comuzzi, Marco; Patel, Anit",Emerald Group Publishing Limited,2016
,21,Visualization and statistical modeling of financial big data: double-log modeling with skew-symmetric error distributions,"Jimichi, Masayuki; Miyamoto, Daisuke; Saka, Chika; Nagata, Shuichi",Springer Nature,2018
,22,Data discretization: taxonomy and big data challenge,"Ramírez‐Gallego, Sergio; García, Salvador; Mouriño‐Talín, Héctor; Martínez‐Rego, David; Bolón‐Canedo, Verónica; Alonso‐Betanzos, Amparo; Benítez, José Manuel; Herrera, Francisco",John Wiley & Sons Ltd,2016
,23,Big Data doesn't always yield big benefits,unknown,SOURCE MEDIA INC.,2015
,24,Big Data Challenges in Big Science,"Heiss, Andreas",Springer Nature,2019
,25,Data Mining with Big Data,"Xindong, W.; Xingquan, Z.; Gong-Qing, W.; Wei, D.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2014
,26,Big Data technologies to process spatial and attribute data when designing and operating mine-engineering systems,"Stepanov, Yuri A.; Stepanov, Alexander V.",Taylor & Francis,2019
,27,"Big data, big results: Knowledge discovery in output from large?scale analytics","McCormick, T.H.; Ferrell, R.; Karr, A.F.; Ryan, P.B.","John Wiley & Sons, Ltd",2014
,28,When big data initiatives meet: Data sharing between THANADOS and IsoArcH for early medieval cemeteries in Austria,"Richards, Nina","Elsevier Science B.V., Amsterdam",2023
,29,Using data to build a better EM: EM* for big data,"Kurban, H.; Jenne, M.; Dalkilic, M. M.",Springer Science + Business Media,2017
,30,Spatial Data Mining: A Perspective of Big Data,Shuliang Wang; Hanning Yuan,Idea Group Pub,2014
,31,Automated Data Slicing for Model Validation: A Big Data - AI Integration Approach,"Chung, Yeounoh; Kraska, Tim; Polyzotis, Neoklis; Tae, Ki Hyun; Whang, Steven Euijong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,32,From big data to big analysis: a perspective of geographical conditions monitoring,"Zhai, Liang; Zhang, Na; Hou, Wei; Feng, Zhixian; Qiao, Qinghua; Luo, Minghai",Taylor & Francis,2018
,33,"Themes in data mining, big data, and crime analytics","Oatley, Giles C.",John Wiley & Sons Ltd,2022
,34,A Detailed Review on the Prominent Compression Methods Used for Reducing the Data Volume of Big Data,"Anuradha, D.; Bhuvaneswari, S.",Springer Science + Business Media,2016
,35,Divide and recombine (D&R) data science projects for deep analysis of big data and high computational complexity,"Tung, Wen-wen; Barthur, Ashrith; Bowers, Matthew C.; Song, Yuying; Gerth, John; Cleveland, William S.",Springer Nature,2018
,36,An overview of online based platforms for sharing and analyzing electrophysiology data from big data perspective,"Chen, Yang; Wang, Zhong‐yi; Yuan, Gang; Huang, Lan",John Wiley & Sons Ltd,2017
,37,An overview of online based platforms for sharing and analyzing electrophysiology data from big data perspective,"Chen, Yang; Wang, Zhong‐yi; Yuan, Gang; Huang, Lan",John Wiley & Sons Ltd,2017
,38,A Survey on Data Collection for Machine Learning: A Big Data - AI Integration Perspective,"Roh, Yuji; Heo, Geon; Whang, Steven Euijong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,39,The Gamma Matrix to Summarize Dense and Sparse Data Sets for Big Data Analytics,"Ordonez, C.; Zhang, Y.; Cabrera, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,40,Haery: A Hadoop Based Query System on Accumulative and High-Dimensional Data Model for Big Data,"Song, Jie; He, Hongyan; Thomas, Richard; Bao, Yubin; Yu, Ge",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,41,Big data analytics in single‐cell transcriptomics: Five grand opportunities,"Bhattacharya, Namrata; Nelson, Colleen C.; Ahuja, Gaurav; Sengupta, Debarka",John Wiley & Sons Ltd,2021
,42,Big data analytics for security and criminal investigations,"Pramanik, M.I.; Lau, Raymond Y.K.; Yue, Wei T.; Ye, Yunming; Li, Chunping",John Wiley & Sons Ltd,2017
,43,An analysis of academic librarians competencies and skills for implementation of Big Data analytics in libraries,"Ahmad, Khurshid; JianMing, Zheng; Rafi, Muhammad",Emerald Publishing,2019
,44,Big data processing tools: An experimental performance evaluation,Mário Rodrigues,"Wiley Periodicals, Inc",2019
,45,Applying big data analytics to support Kansei engineering for hotel service development,"Chen, Mu-Chen; Hsiao, Yu-Hsiang; Chang, Kuo-Chien; Lin, Ming-Ke",Emerald Publishing,2019
,46,Special issue: First International Conference on Big Data and Smart Computing (BigComp2014),"Kim, J.; Kwok, J.; Sumiya, K.; Zhang, B. T.","Elsevier Science B.V., Amsterdam.",2016
,47,Big data analytics with swarm intelligence,"Cheng, Shi; Zhang, Qingyu; Qin, Quande",Emerald Group Publishing Limited,2016
,48,"Big Data, the Internet of Things, and the Revised Knowledge Pyramid","Jennex,  Murray E.",ACM SIGMIS,2017
,49,Big Data acquired by Internet of Things-enabled industrial multichannel wireless sensors networks for active monitoring and control in the smart grid Industry 4.0,"Faheem, Muhammad; Fizza, Ghulam; Ashraf, Muhammad Waqar; Butt, Rizwan Aslam; Ngadi, Md. Asri; Gungor, Vehbi Cagri","Elsevier Science B.V., Amsterdam",2021
,50,Big Data Summarization Using Novel Clustering Algorithm and Semantic Feature Approach,"Kolte, Shilpa G.Bakal, Jagdish W.",IGI Publishing,-
,51,Quality Assessment of Peer-Produced Content in Knowledge Repositories Using Big Data and Social Networks: The Case of Implicit Collaboration in Wikipedia,"Velichety, Srikar",ACM SIGMIS,2019
,52,"Big data with cloud computing: an insight on the computing environment, mapreduce, and programming frameworks","Fernández, Alberto; del Río, Sara; López, Victoria; Bawakid, Abdullah; del Jesus, María J.; Benítez, José M.; Herrera, Francisco",John Wiley & Sons Ltd,2014
,53,BIG DATA and fusion,"Zhang, Jixian",Taylor & Francis,2015
,54,Big Data Improves Care,unknown,SOURCE MEDIA INC.,2015
,55,Big data analytics: Machine learning and Bayesian learning perspectives—What is done? What is not?,Shan Suthaharan,"Wiley Periodicals, Inc",2019
,56,Big data analytics – enabled cyber-physical system: model and applications,"Luo, Shuai; Liu, Hongwei; Qi, Ershi",Emerald Group Publishing Limited,2019
,57,Entity deduplication in big data graphs for scholarly communication,"Manghi, Paolo; Atzori, Claudio; De Bonis, Michele; Bardi, Alessia",Emerald Publishing,2020
,58,Big data visual exploration as a recommendation problem,"Kahil, Moustafa Sadek",Inderscience,2023
,59,Big Data Paradigm: What is the Status of Privacy and Security?,"Strang, K. D.; Sun, Z.",Springer Science + Business Media,2017
,60,Big Data in Portfolio Allocation: A New Approach to Successful Portfolio Optimization,Irene Aldridge,Pageant Media Ltd,2019
,61,Big data analytics for security and criminal investigations,"Pramanik, M.I.; Lau, Raymond Y.K.; Yue, Wei T.; Ye, Yunming; Li, Chunping",John Wiley & Sons Ltd,2017
,62,Blockchain based Securing Medical Records in Big Data Analytics,"Marichamy, V. Santhana","Elsevier Science B.V., Amsterdam.",2023
,63,Chicken swarm foraging algorithm for big data classification using the deep belief network classifier,"R, Sathyaraj; L, Ramanathan; K, Lavanya; V, Balasubramanian; J, Saira Banu",Emerald Publishing,2020
,64,Big data analytics on Apache Spark,"Salloum, S.; Dautov, R.; Chen, X.; Peng, P. X.; Huang, J. Z.",Springer Science + Business Media,2016
,65,"Big data and analytics: issues, challenges, and opportunities","Kumar, Akshay",Inderscience,2015
,66,Big data analytics in Australian pharmaceutical supply chain,"Ziaee, Maryam",Emerald Group Publishing Limited,2023
,67,Dynamic Distributed and Parallel Machine Learning algorithms for big data mining processing,"Djafri, Laouni",Emerald Publishing,2021
,68,PROADAPT: Proactive framework for adaptive partitioning for big data warehouses,"Benkrid, Soumia","Elsevier Science B.V., Amsterdam.",2022
,69,Tensor-Based Big Data Management Scheme for Dimensionality Reduction Problem in Smart Grid Systems: SDN Perspective,"Kaur, D.; Aujla, G. S.; Kumar, N.; Zomaya, A. Y.; Perera, C.; Ranjan, R.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,70,Managing big data in coal-fired power plants: a business intelligence framework,"Chongwatpol, Jongsawas",Emerald Group Publishing Limited,2016
,71,In-Memory Big Data Management and Processing: A Survey,"Hao, Z.; Gang, C.; Beng, C. O.; Kian-Lee, T.; Meihui, Z.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,72,Olympics Big Data Prognostications,"Jain, ArushiBhatnagar, Vishal",IGI Publishing,-
,73,Practical Big Data,unknown,SOURCE MEDIA INC.,2014
,74,Exploring Big Data Analysis: Fundamental Scientific Problems,"Xu, Z.; Shi, Y.",Springer Science + Business Media,2015
,75,"Michael Buck talks about living his dream of being a bioinformaticist, and the emerging alternatives to big data warehouses",unknown,SOURCE MEDIA INC.,2012
,76,Analytics Partners Allina Health teams up with Health Catalyst to garner the benefits of big data,unknown,SOURCE MEDIA INC.,2016
,77,MongoDB-Based Modular Ontology Building for Big Data Integration,"Abbes, H.; Gargouri, F.",Springer,2018
,78,Panacea of challenges in real-world application of big data analytics in healthcare sector,"Shah, Grishma",Springer Nature,2019
,79,Fuzzy rule based classification systems for big data with MapReduce: granularity analysis,"Fernández, A.; Río, S.; Bawakid, A.; Herrera, F.",Springer Science + Business Media,2017
,80,Cell phone big data to compute mobility scenarios for future smart cities,"Tosi, D.",Springer Science + Business Media,2017
,81,How China Deals with Big Data,"Shi, Y.; Shan, Z.; Li, J.; Fang, Y.",Springer Science + Business Media,2017
,82,Smart city big data analytics: An advanced review,Kamran Soomro,"Wiley Periodicals, Inc",2019
,83,A Bibliometrics analysis on big data research (2009–2018),"Xu, Zeshui",Springer Nature,2019
,84,The application of big data analytics in optimizing logistics: a developmental perspective review,"Yan, Zengwen",Springer Nature,2019
,85,Semantics-Aware Approaches to Big Data Engineering,"Cuzzocrea, A.; Sellis, T.",Springer,2017
,86,Flexible Heavy Tailed Distributions for Big Data,"Zhang, Y.; Nadarajah, S.",Springer Science + Business Media,2017
,87,Determinants of big data analytics adoption in small and medium-sized enterprises (SMEs),"Maroufkhani, Parisa",Emerald Group Publishing Limited,2022
,88,The role of big data analytics in enabling green supply chain management: a literature review,"Liu, Jia",Springer Nature,2020
,89,A Holistic View of Big Data,Won Kim; Ok-Ran Jeong; Chulyun Kim,Idea Group Pub,2014
,90,Advancing science and technology with big data analytics,"Li, Jia","John Wiley & Sons, Ltd",2018
,91,Detection of stragglers and optimal rescheduling of slow running tasks in big data environment using LFCSO-LVQ classifier and enhanced PSO algorithm,"Joshiara, Hetal A.; Thaker, Chirag S.; Shah, Sanjay M.; Choksi, Darshan B.",Inderscience,2022
,92,A new process for healthcare big data warehouse integration,"Arfaoui, Nouha",Inderscience,2023
,93,Exploring the paths to big data analytics implementation success in banking and financial service: an integrated approach,"Hajiheydari, Nastaran; Delgosha, Mohammad Soltani; Wang, Yichuan; Olya, Hossein",Emerald Group Publishing Limited,2021
,94,Scalable machine‐learning algorithms for big data analytics: a comprehensive review,"Gupta, Preeti; Sharma, Arun; Jindal, Rajni",John Wiley & Sons Ltd,2016
,95,Online updating method to correct for measurement error in big data streams,"Lee, JooChul; Wang, HaiYing; Schifano, Elizabeth D.","Elsevier Science B.V., Amsterdam.",2020
,96,View Materialization Over Big Data,"Kumar, AkshayKumar, T. V. Vijay",IGI Publishing,2021
,97,Stakeholder Perceptions and Word-of-Mouth on CSR Dynamics: A Big Data Analysis from Twitter,Andrée Marie López-Fernández; Zamira Burgos Silva,"Idea Group Pub.,",2018
,98,Analysing repeat blood donation behavior via big data,"Chen, Xu; Liu, Lei; Guo, Xinyu",Emerald Group Publishing Limited,2020
,99,Comparing world regional sustainable supply chain finance using big data analytics: a bibliometric analysis,"Tseng, Ming-Lang; Bui, Tat-Dat; Lim, Ming K.; Tsai, Feng Ming; Tan, Raymond R.",Emerald Group Publishing Limited,2021
,100,A Framework for Evaluating Design Methodologies for Big Data Warehouses: Measurement of the Design Process,Francesco Di Tria; Ezio Lefons; Filippo Tangorra,Idea Group Pub,2018
,1,A High-Level Interactive Query Language for Big Data Analytics Based on a Functional Model,"Monsia, SymphorienFaiz, Sami",IGI Publishing,2020
,2,Unlocking causal relations of barriers to big data analytics in manufacturing firms,"Raut, Rakesh; Narwane, Vaibhav; Kumar Mangla, Sachin; Yadav, Vinay Surendra; Narkhede, Balkrishna Eknath; Luthra, Sunil",Emerald Group Publishing Limited,2021
,3,Research on the driving mechanism of business model innovation of startups based on big data analysis in the context of digital economy,"Tian, Hua",Inderscience,2023
,4,The construction of smart city information service system in the era of big data,"Li, Cong",Inderscience,2023
,5,Modeling and Evaluating the Effects of Big Data Storage Resource Allocation in Global Scale Cloud Architectures,Enrico Barbierato; Marco Gribaudo; Mauro Iacono,Idea Group Pub,2016
,6,MR plot: A big data tool for distinguishing distributions,"Ardakani, Omid M.; Asadi, Majid; Ebrahimi, Nader; Soofi, Ehsan S.","John Wiley & Sons, Ltd",2020
,7,A watchdog approach - name-matching algorithm for big data risk intelligence,"Kirubakaran, Anusuya; Aramudhan, M.",Inderscience,2018
,8,Distributed subdata selection for big data via sampling-based approach,"Zhang, Haixiang; Wang, HaiYing","Elsevier Science B.V., Amsterdam.",2021
,9,Bayesian consensus clustering with LIME for security in big data,"Balamurugan, S.; Thangaraj, M.",Inderscience,2021
,10,Supervised compression of big data,"Joseph, V. Roshan; Mak, Simon","John Wiley & Sons, Ltd",2021
,11,Responding to market turbulence by big data analytics and mass customization capability,"Sheng, Hongyan; Feng, Taiwen; Chen, Lucheng; Chu, Dianhui",Emerald Group Publishing Limited,2021
,12,An insight into application of big data analytics in healthcare,"Nalluri, Sravani; Sasikala, R.",Inderscience,2020
,13,Telecom fraud detection with big data analytics,"Terzi, Duygu Sinanç; Sağıroğlu, Şeref; Kılınç, Hakan",Inderscience,2021
,14,Barriers of embedding big data solutions in smart factories: insights from SAP consultants,"Li, Shuyang; Peng, Guo Chao; Xing, Fei",Emerald Group Publishing Limited,2019
,15,An analysis of the relation between natural disasters and Big Data,"Velev, Dimiter",Inderscience,2016
,16,Predicting the ratings of Amazon products using Big Data,"Woo, Jongwook; Mishra, Monika",John Wiley & Sons Ltd,2021
,17,Incremental Query Processing on Big Data Streams,"Fegaras, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,18,Efficient Skyline Computation on Big Data,"Xixian, H.; Jianzhong, L.; Donghua, Y.; Jinbao, W.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,19,Problems with research methods in medical device big data analytics,"Strang, Kenneth David",Springer Nature,2020
,20,An intelligent approach to Big Data analytics for sustainable retail environment using Apriori-MapReduce framework,"Verma, Neha; Singh, Jatinder",Emerald Group Publishing Limited,2017
,21,Application of hyper-convergent platform for big data in exploring regional innovation systems,"Finogeev, Alexey G.; Gamidullaeva, Leyla A.; Vasin, Sergey M.",Inderscience,2020
,22,Multiple Decisional Query Optimization in Big Data Warehouse,"Rado, RatsimbazafyBoussaid, Omar",IGI Publishing,2018
,23,Machine Learning Pipelines with Modern Big Data Tools for High Energy Physics,"Migliorini, M.",Springer Nature,2020
,24,Parallel SLINK for big data,"Goyal, Poonam",Springer Nature,2020
,25,Guest Editorial Special Issue on Online Recommendation Using AI and Big Data Techniques,"Chen, Lei",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2023
,26,Mining Suspicious Tax Evasion Groups in Big Data,"Tian, F.; Lan, T.; Chao, K.; Godwin, N.; Zheng, Q.; Shah, N.; Zhang, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,27,T-PCCE: Twitter Personality based Communicative Communities Extraction System for Big Data,"Kafeza, Eleanna; Kanavos, Andreas; Makris, Christos; Pispirigos, Georgios; Vikatos, Pantelis",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,28,An uncertainty measure and fusion rule for conflict evidences of big data via Dempster–Shafer theory,"Dutta, Palash",Taylor & Francis,2018
,29,Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing,"Sutedi, Sutedi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,30,On the Feasibility of Distributed Kernel Regression for Big Data,"Xu, Chen; Zhang, Yongquan; Li, Runze; Wu, Xindong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,31,"A Survey on Spark Ecosystem: Big Data Processing Infrastructure, Machine Learning, and Applications","Tang, Shanjiang; He, Bingsheng; Yu, Ce; Li, Yusen; Li, Kun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,32,A Novel Pipeline Approach for Efficient Big Data Broadcasting,"Wu, C.; Ku, C.; Ho, J.; Chen, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,33,Bit-Oriented Sampling for Aggregation on Big Data,"Hu, Huan; Li, Jianzhong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,34,Web Media and Stock Markets : A Survey and Future Directions from a Big Data Perspective,"Li, Q.; Chen, Y.; Wang, J.; Chen, Y.; Chen, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,35,A Privacy-Preserving Distributed Contextual Federated Online Learning Framework with Big Data Support in Social Recommender Systems,"Zhou, Pan; Wang, Kehao; Guo, Linke; Gong, Shimin; Zheng, Bolong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,36,A Multi-Step Nonlinear Dimension-Reduction Approach with Applications to Big Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,37,K Nearest Neighbour Joins for Big Data on MapReduce: A Theoretical and Experimental Analysis,"Song, G.; Rochas, J.; Beze, L. E.; Huet, F.; Magoules, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,38,Distributed Bayesian Matrix Decomposition for Big Data Mining and Clustering,"Zhang, Chihao; Yang, Yang; Zhou, Wei; Zhang, Shihua",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,39,Security and Privacy Implications on Database Systems in Big Data Era: A Survey,"Samaraweera, G. Dumindu; Chang, J. Morris",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,40,A Semi-Automatic Design Methodology for (Big) Data Warehouse Transforming Facts into Dimensions,"Sautot, Lucile; Bimonte, Sandro; Journaux, Ludovic",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,41,i$^2$ MapReduce: Incremental MapReduce for Mining Evolving Big Data,"Yanfeng, Z.; Shimin, C.; Qiang, W.; Ge, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,42,Bias Correction in a Small Sample from Big Data,"Jianguo, L.; Dingding, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,43,VA-Store: A Virtual Approximate Store Approach to Supporting Repetitive Big Data in Genome Sequence Analyses,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,44,A Data-Driven Sequential Localization Framework for Big Telco Data,"Zhu, Fangzhou; Yuan, Mingxuan; Xie, Xike; Wang, Ting; Zhao, Shenglin; Rao, Weixiong; Zeng, Jia",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,45,"Towards Big Linked Data: A Large-Scale, Distributed Semantic Data Storage",Bo Hu; Nuno Carvalho; Takahide Matsutsuka,Idea Group Pub,2013
,46,Effective and efficient distributed management of big clinical data: a framework,"Cuzzocrea, Alfredo; Grasso, Giorgio Mario; Nolich, Massimiliano",Inderscience,2019
,47,A Scalable Multi-Data Sources Based Recursive Approximation Approach for Fast Error Recovery in Big Sensing Data on Cloud,"Yang, Chi; Xu, Xianghua; Ramamohanarao, Kotagiri; Chen, Jinjun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,48,A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud,"Yang, C.; Chen, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,49,Extracting Kernel Dataset from Big Sensory Data in Wireless Sensor Networks,"Cheng,  Siyao; Cai,  Zhipeng; Li,  Jianzhong; Gao,  Hong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,50,A memory-free spatial additive mixed modeling for big spatial data,"Murakami, Daisuke",Springer Nature,2020
,51,Efficient and Distributed Generalized Canonical Correlation Analysis for Big Multiview Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,52,Scalable Algorithms for Nearest-Neighbor Joins on Big Trajectory Data,"Fang,  Yixiang; Cheng,  Reynold; Tang,  Wenbin; Maniu,  Silviu; Yang,  Xuan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,53,Parallel Fractional Hot-Deck Imputation and Variance Estimation for Big Incomplete Data Curing,"Yang, Yicheng; Kim, Jae Kwang; Cho, In Ho",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,54,Skia: Scalable and Efficient In-Memory Analytics for Big Spatial-Textual Data,"Xu, Yang; Yao, Bin; Wang, Zhi-Jie; Gao, Xiaofeng; Xie, Jiong; Guo, Minyi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,55,Vecchia–Laplace approximations of generalized Gaussian processes for big non-Gaussian spatial data,"Zilber, Daniel; Katzfuss, Matthias","Elsevier Science B.V., Amsterdam.",2021
,56,Incremental Factorization of Big Time Series Data with Blind Factor Approximation,"Chen, Dan; Tang, Yunbo; Zhang, Hao; Wang, Lizhe; Li, Xiaoli",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,57,Emulated order identification for models of big time series data,"Wu, Brian; Drignei, Dorin","John Wiley & Sons, Ltd",2021
,58,Handling Big Dimensions in Distrubted Data Warehouses using the DWS Technique,"Costa, M.; Madeira, H.","ACM,",2004
,59,Data access as a big competitive advantage: evidence from China's car-hailing platforms,"Huang, Lei; Zhao, Yandong; He, Guangxi; Lu, Yangxu; Zhang, Juanjuan; Wu, Peiyi",Emerald Publishing,2020
,60,EU data privacy laws face big shake-up,"Mullock, J.",Palgrave Macmillan,2012
,61,"Archeological Data Recovery at Site 41BS908: A 9,000 Year-old Site in the Chisos Basin, Big Bend National Park","Alex, T. C.",CENTER FOR BIG BEND STUDIES SUL ROS STATE UNIVERSITY,1999
,62,Big-data: transformation from heterogeneous data to semantically-enriched simplified data,"Malik, K. R.",Springer Science + Business Media,2016
,63,"`Big data' and the analytics course Given student expectations and industry demands, it's time to re-frame content to make analytics course big-data friendly","Bell, P.C.",INSTITUTE FOR OPERATIONS RESEARCH AND THE MANAGEMENT,2014
,64,Big Data im Labor der Zukunft Big-Data-Anwendungen im Labor - Chancen & Herausforderungen,unknown,VOGEL VERLAG UND DRUCK KG,2016
,65,"Editorial Commentary: ""Mo' Data, Mo' Problems""? ""Big Data"" From National Database Studies in Orthopaedic Research and Concerns Over Generalizability","Saltzman, Bryan M.","Elsevier Science B.V., Amsterdam",2019
,66,Towards efficient data exchange and sharing for big-data driven materials science: metadata and data formats,"Ghiringhelli, Luca",Springer Nature,2017
,67,"Oracle Sparc Accelerates Big Data Oracle's recent Sparc processors integrate hardware acceleration for database software, big-data analytics, and security. They also enable compression of in-memory databases",unknown,MICRODESIGN RESOURCES,2016
